date,stock_symbol,symbol,closing_price
19/9/2014,AAAA,AAAA,94.772141
22/9/2014,AAAA,AAAA,94.866035
23/9/2014,AAAA,AAAA,96.34919
24/9/2014,AAAA,AAAA,95.513741
25/9/2014,AAAA,AAAA,91.871544
26/9/2014,AAAA,AAAA,94.575012
29/9/2014,AAAA,AAAA,93.974258
30/9/2014,AAAA,AAAA,94.575012
1/10/2014,AAAA,AAAA,93.101265
2/10/2014,AAAA,AAAA,93.77713
3/10/2014,AAAA,AAAA,93.514275
6/10/2014,AAAA,AAAA,93.514275
7/10/2014,AAAA,AAAA,92.697601
8/10/2014,AAAA,AAAA,94.621971
9/10/2014,AAAA,AAAA,94.828468
10/10/2014,AAAA,AAAA,94.556252
13/10/2014,AAAA,AAAA,93.692642
14/10/2014,AAAA,AAAA,92.697601
15/10/2014,AAAA,AAAA,91.561768
16/10/2014,AAAA,AAAA,90.360229
17/10/2014,AAAA,AAAA,91.683792
20/10/2014,AAAA,AAAA,93.645706
21/10/2014,AAAA,AAAA,96.189606
22/10/2014,AAAA,AAAA,96.677719
23/10/2014,AAAA,AAAA,98.404984
24/10/2014,AAAA,AAAA,98.771049
27/10/2014,AAAA,AAAA,98.667801
28/10/2014,AAAA,AAAA,100.197884
29/10/2014,AAAA,AAAA,100.761108
30/10/2014,AAAA,AAAA,100.423187
31/10/2014,AAAA,AAAA,101.380669
3/11/2014,AAAA,AAAA,102.69487
4/11/2014,AAAA,AAAA,101.943901
5/11/2014,AAAA,AAAA,102.187965
6/11/2014,AAAA,AAAA,102.480217
7/11/2014,AAAA,AAAA,102.772491
10/11/2014,AAAA,AAAA,102.602768
11/11/2014,AAAA,AAAA,103.423004
12/11/2014,AAAA,AAAA,104.884315
13/11/2014,AAAA,AAAA,106.364471
14/11/2014,AAAA,AAAA,107.646667
17/11/2014,AAAA,AAAA,107.467529
18/11/2014,AAAA,AAAA,108.862846
19/11/2014,AAAA,AAAA,108.10862
20/11/2014,AAAA,AAAA,109.65477
21/11/2014,AAAA,AAAA,109.805626
24/11/2014,AAAA,AAAA,111.842026
25/11/2014,AAAA,AAAA,110.870972
26/11/2014,AAAA,AAAA,112.190865
28/11/2014,AAAA,AAAA,112.124863
1/12/2014,AAAA,AAAA,108.485748
2/12/2014,AAAA,AAAA,108.070908
3/12/2014,AAAA,AAAA,109.296516
4/12/2014,AAAA,AAAA,108.881706
5/12/2014,AAAA,AAAA,108.419731
8/12/2014,AAAA,AAAA,105.968506
9/12/2014,AAAA,AAAA,107.590111
10/12/2014,AAAA,AAAA,105.544258
11/12/2014,AAAA,AAAA,105.233162
12/12/2014,AAAA,AAAA,103.451302
15/12/2014,AAAA,AAAA,102.037148
16/12/2014,AAAA,AAAA,100.641792
17/12/2014,AAAA,AAAA,103.149605
18/12/2014,AAAA,AAAA,106.204208
19/12/2014,AAAA,AAAA,105.38398
22/12/2014,AAAA,AAAA,106.477615
23/12/2014,AAAA,AAAA,106.10051
24/12/2014,AAAA,AAAA,105.600815
26/12/2014,AAAA,AAAA,107.467529
29/12/2014,AAAA,AAAA,107.392105
30/12/2014,AAAA,AAAA,106.081635
31/12/2014,AAAA,AAAA,104.064095
2/1/2015,AAAA,AAAA,103.074188
5/1/2015,AAAA,AAAA,100.170403
6/1/2015,AAAA,AAAA,100.179832
7/1/2015,AAAA,AAAA,101.584587
8/1/2015,AAAA,AAAA,105.487694
9/1/2015,AAAA,AAAA,105.600815
12/1/2015,AAAA,AAAA,102.998756
13/1/2015,AAAA,AAAA,103.913254
14/1/2015,AAAA,AAAA,103.517303
15/1/2015,AAAA,AAAA,100.707787
16/1/2015,AAAA,AAAA,99.925301
20/1/2015,AAAA,AAAA,102.499077
21/1/2015,AAAA,AAAA,103.281609
22/1/2015,AAAA,AAAA,105.968506
23/1/2015,AAAA,AAAA,106.515327
26/1/2015,AAAA,AAAA,106.628448
27/1/2015,AAAA,AAAA,102.89505
28/1/2015,AAAA,AAAA,108.712013
29/1/2015,AAAA,AAAA,112.096588
30/1/2015,AAAA,AAAA,110.456161
2/2/2015,AAAA,AAAA,111.842026
3/2/2015,AAAA,AAAA,111.860893
4/2/2015,AAAA,AAAA,112.718803
5/2/2015,AAAA,AAAA,113.523354
6/2/2015,AAAA,AAAA,112.567368
9/2/2015,AAAA,AAAA,113.315125
10/2/2015,AAAA,AAAA,115.492058
11/2/2015,AAAA,AAAA,118.199066
12/2/2015,AAAA,AAAA,119.694534
13/2/2015,AAAA,AAAA,120.281372
17/2/2015,AAAA,AAAA,120.991257
18/2/2015,AAAA,AAAA,121.833633
19/2/2015,AAAA,AAAA,121.578079
20/2/2015,AAAA,AAAA,122.571892
23/2/2015,AAAA,AAAA,125.884659
24/2/2015,AAAA,AAAA,125.09906
25/2/2015,AAAA,AAAA,121.899872
26/2/2015,AAAA,AAAA,123.44268
27/2/2015,AAAA,AAAA,121.58754
2/3/2015,AAAA,AAAA,122.18383
3/3/2015,AAAA,AAAA,122.439384
4/3/2015,AAAA,AAAA,121.663254
5/3/2015,AAAA,AAAA,119.647224
6/3/2015,AAAA,AAAA,119.827042
9/3/2015,AAAA,AAAA,120.338158
10/3/2015,AAAA,AAAA,117.848854
11/3/2015,AAAA,AAAA,115.70031
12/3/2015,AAAA,AAAA,117.792061
13/3/2015,AAAA,AAAA,116.978073
16/3/2015,AAAA,AAAA,118.26532
17/3/2015,AAAA,AAAA,120.243484
18/3/2015,AAAA,AAAA,121.597
19/3/2015,AAAA,AAAA,120.678909
20/3/2015,AAAA,AAAA,119.164497
23/3/2015,AAAA,AAAA,120.404419
24/3/2015,AAAA,AAAA,119.912239
25/3/2015,AAAA,AAAA,116.77932
26/3/2015,AAAA,AAAA,117.5933
27/3/2015,AAAA,AAAA,116.656258
30/3/2015,AAAA,AAAA,119.609352
31/3/2015,AAAA,AAAA,117.773132
1/4/2015,AAAA,AAAA,117.602776
2/4/2015,AAAA,AAAA,118.615524
6/4/2015,AAAA,AAAA,120.536926
7/4/2015,AAAA,AAAA,119.268608
8/4/2015,AAAA,AAAA,118.880547
9/4/2015,AAAA,AAAA,119.789177
10/4/2015,AAAA,AAAA,120.300293
13/4/2015,AAAA,AAAA,120.063667
14/4/2015,AAAA,AAAA,119.543106
15/4/2015,AAAA,AAAA,119.997421
16/4/2015,AAAA,AAAA,119.420044
17/4/2015,AAAA,AAAA,118.076035
20/4/2015,AAAA,AAAA,120.773537
21/4/2015,AAAA,AAAA,120.120476
22/4/2015,AAAA,AAAA,121.738968
23/4/2015,AAAA,AAAA,122.732803
24/4/2015,AAAA,AAAA,123.310173
27/4/2015,AAAA,AAAA,125.553368
28/4/2015,AAAA,AAAA,123.575188
29/4/2015,AAAA,AAAA,121.757904
30/4/2015,AAAA,AAAA,118.45462
1/5/2015,AAAA,AAAA,122.051331
4/5/2015,AAAA,AAAA,121.814697
5/5/2015,AAAA,AAAA,119.069847
6/5/2015,AAAA,AAAA,118.322113
7/5/2015,AAAA,AAAA,119.053955
8/5/2015,AAAA,AAAA,121.297028
11/5/2015,AAAA,AAAA,120.061455
12/5/2015,AAAA,AAAA,119.633736
13/5/2015,AAAA,AAAA,119.7668
14/5/2015,AAAA,AAAA,122.561157
15/5/2015,AAAA,AAAA,122.390053
18/5/2015,AAAA,AAAA,123.739716
19/5/2015,AAAA,AAAA,123.625671
20/5/2015,AAAA,AAAA,123.616135
21/5/2015,AAAA,AAAA,124.880234
22/5/2015,AAAA,AAAA,125.973274
26/5/2015,AAAA,AAAA,123.197929
27/5/2015,AAAA,AAAA,125.498032
28/5/2015,AAAA,AAAA,125.250931
29/5/2015,AAAA,AAAA,123.825249
1/6/2015,AAAA,AAAA,124.072357
2/6/2015,AAAA,AAAA,123.521095
3/6/2015,AAAA,AAAA,123.673164
4/6/2015,AAAA,AAAA,122.950821
5/6/2015,AAAA,AAAA,122.276001
8/6/2015,AAAA,AAAA,121.468132
9/6/2015,AAAA,AAAA,121.106941
10/6/2015,AAAA,AAAA,122.494598
11/6/2015,AAAA,AAAA,122.218971
12/6/2015,AAAA,AAAA,120.869331
15/6/2015,AAAA,AAAA,120.631714
16/6/2015,AAAA,AAAA,121.278015
17/6/2015,AAAA,AAAA,120.992889
18/6/2015,AAAA,AAAA,121.544144
19/6/2015,AAAA,AAAA,120.32756
22/6/2015,AAAA,AAAA,121.287521
23/6/2015,AAAA,AAAA,120.736267
24/6/2015,AAAA,AAAA,121.762756
25/6/2015,AAAA,AAAA,121.182983
26/6/2015,AAAA,AAAA,120.470123
29/6/2015,AAAA,AAAA,118.36013
30/6/2015,AAAA,AAAA,119.215553
1/7/2015,AAAA,AAAA,120.32756
2/7/2015,AAAA,AAAA,120.175491
6/7/2015,AAAA,AAAA,119.757301
7/7/2015,AAAA,AAAA,119.462669
8/7/2015,AAAA,AAAA,116.497238
9/7/2015,AAAA,AAAA,114.121101
10/7/2015,AAAA,AAAA,117.172066
13/7/2015,AAAA,AAAA,119.434151
14/7/2015,AAAA,AAAA,119.386612
15/7/2015,AAAA,AAAA,120.536682
16/7/2015,AAAA,AAAA,122.142929
17/7/2015,AAAA,AAAA,123.197929
20/7/2015,AAAA,AAAA,125.526573
21/7/2015,AAAA,AAAA,124.271957
22/7/2015,AAAA,AAAA,119.015938
23/7/2015,AAAA,AAAA,118.958923
24/7/2015,AAAA,AAAA,118.331612
27/7/2015,AAAA,AAAA,116.687317
28/7/2015,AAAA,AAAA,117.267105
29/7/2015,AAAA,AAAA,116.896423
30/7/2015,AAAA,AAAA,116.307167
31/7/2015,AAAA,AAAA,115.290161
3/8/2015,AAAA,AAAA,112.571854
4/8/2015,AAAA,AAAA,108.960129
5/8/2015,AAAA,AAAA,109.682457
6/8/2015,AAAA,AAAA,109.921165
7/8/2015,AAAA,AAAA,110.293526
10/8/2015,AAAA,AAAA,114.303505
11/8/2015,AAAA,AAAA,108.355354
12/8/2015,AAAA,AAAA,110.026184
13/8/2015,AAAA,AAAA,109.940262
14/8/2015,AAAA,AAAA,110.713615
